,County,Year,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
98,Shasta,2019,100.24999999999994,77.29999999999997,424.8567493112948,9.264738292011025,105.7,1.3,55.07451790633608,100.0,6.0,62.38980716253444,40.79972451790633,4.1668044077134985,99.99311294765842,56.40909090909085
99,Shasta,2020,89.53000000000002,24.000000000000004,490.87476280834915,9.730170777988622,111.4,14.2,59.0878557874763,100.0,6.0,56.62618595825427,42.110436432637584,4.298481973434534,103.15559772296015,59.77153700189755
100,Siskiyou,2018,139.27000000000007,37.38,396.6761467889908,7.27238532110092,98.7,1.1,47.85633027522935,100.0,8.0,62.488073394495416,34.62972477064221,4.228440366972475,101.5271559633028,51.74385321100926
101,Siskiyou,2019,149.45000000000041,45.710000000000015,373.15271317829456,7.281317829457368,96.9,-5.0,46.4368217054264,100.0,0.0,66.1062015503876,34.80705426356587,4.401937984496126,105.63496124031019,50.90984496124037
102,Siskiyou,2020,210.3199999999996,25.519999999999982,472.293620292083,7.941813989239053,102.8,1.2,52.61414296694851,100.0,6.0,57.61260568793236,36.882859338970086,4.687548039969254,112.50953112989986,55.77117601844731
103,Solano,2018,107.67000000000002,24.169999999999998,457.42923076923074,10.888923076923058,103.2,19.5,58.97723076923078,100.0,1.0,62.52,45.10446153846161,6.681384615384622,160.3679999999999,61.61830769230766
104,Solano,2019,111.20000000000013,47.949999999999996,450.303324099723,11.794321329639894,103.5,24.1,59.373961218836506,100.0,11.0,68.09418282548476,47.782825484764466,6.536565096952908,156.83365650969543,59.380747922437614
105,Solano,2020,96.32000000000002,5.259999999999996,521.6912621359223,12.15048543689321,109.7,26.6,62.10776699029124,100.0,1.0,63.72621359223301,48.711262135922325,6.9244660194174825,166.17689320388345,60.66699029126212
106,Sonoma,2018,165.64999999999995,99.4400000000003,398.3806024981631,10.940999265246152,98.9,18.2,54.6214548126377,100.0,7.0,73.9529757531227,45.941513592946364,3.098016164584864,74.34739162380606,61.2196179279942
107,Sonoma,2019,177.99999999999997,152.5100000000002,402.28800557880055,11.42977684797768,102.1,22.3,55.893863319386355,100.0,5.0,74.08786610878661,47.126847977684825,3.2936541143654074,79.0463040446304,61.399372384937244
108,Sonoma,2020,146.16999999999993,23.770000000000003,472.5182555780933,11.626166328600407,107.6,26.7,56.98032454361059,100.0,11.0,72.72920892494929,47.77576064908726,3.346551724137928,80.3433062880324,63.71663286004063
109,Stanislaus,2018,146.08000000000007,32.87,421.1643286573146,11.413527054108217,102.0,22.3,59.42224448897788,100.0,0.0,65.85370741482966,46.977655310621216,4.834268537074147,115.98336673346707,60.74779559118241
110,Stanislaus,2019,158.09999999999997,41.69000000000004,446.04820415879016,12.820132325141776,101.5,24.6,60.777977315689846,100.0,0.0,70.16446124763705,50.1052930056711,4.785255198487716,114.86918714555769,61.46294896030247
